play_name,act,character,anger,disgust,fear,neutral,sadness,joy,surprise
Measure for Measure,4,Duke Vincentio,0,0.0,1.0,3,0.0,,
Measure for Measure,4,Isabella,1,0.0,1.0,0,1.0,,
Measure for Measure,4,Provost,0,2.0,0.0,0,0.0,,
Measure for Measure,5,Duke Vincentio,1,0.0,0.0,0,0.0,,
Measure for Measure,5,Isabella,1,0.0,0.0,0,0.0,,
Measure for Measure,5,Provost,0,0.0,0.0,0,1.0,,
Much Ado About Nothing,1,Beatrice,0,1.0,0.0,0,0.0,0.0,0.0
Much Ado About Nothing,1,Benedick,1,0.0,0.0,0,0.0,0.0,0.0
Much Ado About Nothing,1,Leonato,1,0.0,0.0,0,0.0,1.0,0.0
Much Ado About Nothing,2,Beatrice,0,0.0,0.0,1,1.0,0.0,0.0
Much Ado About Nothing,2,Benedick,0,1.0,0.0,0,1.0,0.0,0.0
Much Ado About Nothing,2,Leonato,1,0.0,0.0,0,1.0,0.0,0.0
Much Ado About Nothing,3,Beatrice,1,0.0,1.0,0,0.0,0.0,0.0
Much Ado About Nothing,3,Benedick,0,0.0,0.0,1,0.0,0.0,0.0
Much Ado About Nothing,3,Leonato,0,0.0,0.0,1,1.0,0.0,0.0
Much Ado About Nothing,4,Beatrice,1,0.0,0.0,0,0.0,0.0,0.0
Much Ado About Nothing,4,Benedick,0,0.0,0.0,0,0.0,0.0,1.0
Much Ado About Nothing,4,Leonato,1,0.0,0.0,0,0.0,0.0,0.0
Much Ado About Nothing,5,Beatrice,2,0.0,0.0,0,0.0,0.0,0.0
Much Ado About Nothing,5,Benedick,1,0.0,0.0,0,2.0,0.0,0.0
Much Ado About Nothing,5,Leonato,0,0.0,0.0,1,1.0,0.0,0.0
"Pericles, Prince of Tyre",1,Pericles,1,0.0,0.0,0,2.0,0.0,0.0
"Pericles, Prince of Tyre",2,Gower,0,1.0,0.0,0,0.0,0.0,0.0
"Pericles, Prince of Tyre",2,Pericles,2,0.0,0.0,1,0.0,0.0,0.0
"Pericles, Prince of Tyre",2,Thaisa,0,1.0,0.0,1,0.0,1.0,0.0
"Pericles, Prince of Tyre",3,Gower,0,0.0,1.0,0,0.0,0.0,0.0
"Pericles, Prince of Tyre",3,Pericles,1,0.0,1.0,0,0.0,0.0,0.0
"Pericles, Prince of Tyre",3,Thaisa,0,0.0,0.0,0,0.0,1.0,1.0
"Pericles, Prince of Tyre",4,Gower,1,0.0,0.0,0,1.0,0.0,0.0
"Pericles, Prince of Tyre",5,Gower,0,0.0,0.0,1,0.0,2.0,0.0
"Pericles, Prince of Tyre",5,Pericles,1,0.0,1.0,0,0.0,0.0,0.0
"Pericles, Prince of Tyre",5,Thaisa,1,0.0,0.0,0,0.0,0.0,0.0
Taming of the Shrew,1,Katharina,0,0.0,1.0,0,,0.0,
Taming of the Shrew,1,Lucentio,0,0.0,0.0,1,,1.0,
Taming of the Shrew,1,Tranio,1,0.0,0.0,0,,1.0,
Taming of the Shrew,2,Katharina,1,0.0,0.0,0,,0.0,
Taming of the Shrew,2,Tranio,0,0.0,0.0,1,,0.0,
Taming of the Shrew,3,Katharina,1,0.0,0.0,0,,0.0,
Taming of the Shrew,3,Lucentio,0,0.0,1.0,1,,0.0,
Taming of the Shrew,3,Tranio,0,0.0,0.0,1,,0.0,
Taming of the Shrew,4,Katharina,1,0.0,0.0,0,,2.0,
Taming of the Shrew,4,Lucentio,1,0.0,0.0,1,,0.0,
Taming of the Shrew,4,Tranio,0,0.0,0.0,1,,1.0,
Taming of the Shrew,5,Katharina,1,1.0,0.0,0,,0.0,
Taming of the Shrew,5,Lucentio,0,0.0,0.0,0,,2.0,
Taming of the Shrew,5,Tranio,1,0.0,1.0,0,,0.0,
"The
Merry Wives of Windsor",1,Mistress Quickly,1,0.0,0.0,0,0.0,0.0,
"The
Merry Wives of Windsor",1,Page,0,0.0,0.0,0,0.0,1.0,
"The
Merry Wives of Windsor",1,Sir Hugh Evans,0,1.0,0.0,1,0.0,0.0,
"The
Merry Wives of Windsor",2,Mistress Quickly,0,0.0,0.0,2,0.0,0.0,
"The
Merry Wives of Windsor",2,Page,0,1.0,0.0,1,0.0,0.0,
"The
Merry Wives of Windsor",3,Mistress Quickly,1,0.0,0.0,0,1.0,0.0,
"The
Merry Wives of Windsor",3,Page,0,1.0,1.0,2,0.0,0.0,
"The
Merry Wives of Windsor",3,Sir Hugh Evans,0,1.0,0.0,0,1.0,0.0,
